# EDUK2 solver execution report
# generated_at: 2026-08-24T21:16:47-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
nsds2_n20000wmin20000-132-s127422697c1298308.ukp	ukp5	ok	1	0.407737	1650861.000000	1298275.000000	1					elapsed_seconds=0.442402
nsds2_n20000wmin20000-133-s731218263c1138837.ukp	faithful	ok	1	0.078511	1424056.000000	1138828.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.085154 last_stop_reason=
nsds2_n20000wmin20000-133-s731218263c1138837.ukp	ukp5	ok	1	0.494522	1424056.000000	1138828.000000	1					elapsed_seconds=0.529259
nsds2_n20000wmin20000-134-s208479215c1963252.ukp	faithful	ok	1	0.011776	2470957.000000	1963215.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.026571 last_stop_reason=
nsds2_n20000wmin20000-134-s208479215c1963252.ukp	ukp5	ok	1	0.723681	2470957.000000	1963215.000000	1					elapsed_seconds=0.762708
nsds2_n20000wmin20000-135-s802259763c1507227.ukp	faithful	ok	1	0.042377	1914416.000000	1507191.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.049307 last_stop_reason=
nsds2_n20000wmin20000-135-s802259763c1507227.ukp	ukp5	ok	1	0.499405	1914416.000000	1507191.000000	1					elapsed_seconds=0.537287
nsds2_n20000wmin20000-136-s885510405c1639680.ukp	faithful	ok	1	0.112668	2061518.000000	1639625.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.139399 last_stop_reason=
nsds2_n20000wmin20000-136-s885510405c1639680.ukp	ukp5	ok	1	0.695422	2061518.000000	1639625.000000	1					elapsed_seconds=0.731415
nsds2_n20000wmin20000-137-s998577081c1647697.ukp	faithful	ok	1	0.011341	2076129.000000	1647688.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.031418 last_stop_reason=
nsds2_n20000wmin20000-137-s998577081c1647697.ukp	ukp5	ok	1	0.843575	2076129.000000	1647688.000000	1					elapsed_seconds=0.880265
nsds2_n20000wmin20000-138-s948885877c1154829.ukp	faithful	ok	1	0.060611	1442103.000000	1154811.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.084124 last_stop_reason=
nsds2_n20000wmin20000-138-s948885877c1154829.ukp	ukp5	ok	1	0.601831	1442103.000000	1154811.000000	1					elapsed_seconds=0.633736
nsds2_n20000wmin20000-139-s586663876c1192318.ukp	faithful	ok	1	0.046249	1494104.000000	1192309.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.052824 last_stop_reason=
nsds2_n20000wmin20000-139-s586663876c1192318.ukp	ukp5	ok	1	0.463510	1494104.000000	1192309.000000	1					elapsed_seconds=0.498599
nsds2_n20000wmin20000-13-s273864349c1072686.ukp	faithful	ok	1	0.034883	1359958.000000	1072670.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.041987 last_stop_reason=
nsds2_n20000wmin20000-13-s273864349c1072686.ukp	ukp5	ok	1	0.797151	1359958.000000	1072670.000000	1					elapsed_seconds=0.832639
nsds2_n20000wmin20000-140-s139860385c1389776.ukp	faithful	ok	1	0.012181	1759477.000000	1389773.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.026951 last_stop_reason=
nsds2_n20000wmin20000-140-s139860385c1389776.ukp	ukp5	ok	1	0.550375	1759477.000000	1389773.000000	1					elapsed_seconds=0.583510
nsds2_n20000wmin20000-141-s586185750c1382914.ukp	faithful	ok	1	0.042204	1747895.000000	1382908.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.050350 last_stop_reason=
