# EDUK2 solver execution report
# generated_at: 2026-08-24T21:13:28-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss2_wmin100000wmax1000000n50000-4-s721215008c9739684.ukp	faithful	ok	1	0.013560	9739684.000000	9739684.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.021746 last_stop_reason=
ss2_wmin100000wmax1000000n50000-4-s721215008c9739684.ukp	ukp5	ok	1	0.046880	9739684.000000	9739684.000000	1					elapsed_seconds=0.119395
ss2_wmin100000wmax1000000n50000-5-s110877071c8754198.ukp	faithful	ok	1	0.066865	8754198.000000	8754198.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.075521 last_stop_reason=
ss2_wmin100000wmax1000000n50000-5-s110877071c8754198.ukp	ukp5	ok	1	0.048099	8754198.000000	8754198.000000	1					elapsed_seconds=0.118421
ss2_wmin100000wmax1000000n50000-6-s227708629c6095921.ukp	faithful	ok	1	0.018330	6095921.000000	6095921.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.035168 last_stop_reason=
ss2_wmin100000wmax1000000n50000-6-s227708629c6095921.ukp	ukp5	ok	1	0.043614	6095921.000000	6095921.000000	1					elapsed_seconds=0.106698
ss2_wmin100000wmax1000000n50000-7-s177710744c5775002.ukp	faithful	ok	1	0.058032	5775002.000000	5775002.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.066059 last_stop_reason=
ss2_wmin100000wmax1000000n50000-7-s177710744c5775002.ukp	ukp5	ok	1	0.045267	5775002.000000	5775002.000000	1					elapsed_seconds=0.108091
ss2_wmin100000wmax1000000n50000-8-s991580855c7632172.ukp	faithful	ok	1	0.061920	7632172.000000	7632172.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.069712 last_stop_reason=
ss2_wmin100000wmax1000000n50000-8-s991580855c7632172.ukp	ukp5	ok	1	0.046716	7632172.000000	7632172.000000	1					elapsed_seconds=0.114175
ss2_wmin100000wmax1000000n50000-9-s126456688c7779740.ukp	faithful	ok	1	0.067046	7779740.000000	7779740.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.171309 last_stop_reason=
