# EDUK2 solver execution report
# generated_at: 2026-08-24T21:12:30-03:00
# primary_time: internal_seconds (average over successful runs)
instance	algorithm	status	runs	internal_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
ss_wmin10000wmax100000n5000-2-s528806317c634422.ukp	faithful	ok	1	0.001570	634422.000000	634422.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.005746 last_stop_reason=
ss_wmin10000wmax100000n5000-2-s528806317c634422.ukp	ukp5	ok	1	0.001838	634422.000000	634422.000000	1					elapsed_seconds=0.012452
ss_wmin10000wmax100000n5000-3-s780179313c964288.ukp	faithful	ok	1	0.004505	964288.000000	964288.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008944 last_stop_reason=
ss_wmin10000wmax100000n5000-3-s780179313c964288.ukp	ukp5	ok	1	0.002900	964288.000000	964288.000000	1					elapsed_seconds=0.015604
ss_wmin10000wmax100000n5000-4-s721215008c534924.ukp	faithful	ok	1	0.001587	534924.000000	534924.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006145 last_stop_reason=
ss_wmin10000wmax100000n5000-4-s721215008c534924.ukp	ukp5	ok	1	0.001812	534924.000000	534924.000000	1					elapsed_seconds=0.011876
ss_wmin10000wmax100000n5000-5-s110877071c665496.ukp	faithful	ok	1	0.001593	665496.000000	665496.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.006303 last_stop_reason=
ss_wmin10000wmax100000n5000-5-s110877071c665496.ukp	ukp5	ok	1	0.001762	665496.000000	665496.000000	1					elapsed_seconds=0.012592
ss_wmin10000wmax100000n5000-6-s227708629c523503.ukp	faithful	ok	1	0.004408	523503.000000	523503.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.009186 last_stop_reason=
ss_wmin10000wmax100000n5000-6-s227708629c523503.ukp	ukp5	ok	1	0.001974	523503.000000	523503.000000	1					elapsed_seconds=0.012208
ss_wmin10000wmax100000n5000-7-s177710744c988452.ukp	faithful	ok	1	0.005468	988452.000000	988452.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.010185 last_stop_reason=
ss_wmin10000wmax100000n5000-7-s177710744c988452.ukp	ukp5	ok	1	0.002712	988452.000000	988452.000000	1					elapsed_seconds=0.015855
ss_wmin10000wmax100000n5000-8-s991580855c589368.ukp	faithful	ok	1	0.005422	589368.000000	589368.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.010462 last_stop_reason=
ss_wmin10000wmax100000n5000-8-s991580855c589368.ukp	ukp5	ok	1	0.002933	589368.000000	589368.000000	1					elapsed_seconds=0.014220
ss_wmin10000wmax100000n5000-9-s126456688c734233.ukp	faithful	ok	1	0.004545	734233.000000	734233.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008959 last_stop_reason=
ss_wmin10000wmax100000n5000-9-s126456688c734233.ukp	ukp5	ok	1	0.001957	734233.000000	734233.000000	1					elapsed_seconds=0.012563
ss_wmin10000wmax50000n10000-0-s827183242c524015.ukp	faithful	ok	1	0.003336	524015.000000	524015.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008312 last_stop_reason=
ss_wmin10000wmax50000n10000-0-s827183242c524015.ukp	ukp5	ok	1	0.004362	524015.000000	524015.000000	1					elapsed_seconds=0.019646
ss_wmin10000wmax50000n10000-1-s843367405c638567.ukp	faithful	ok	1	0.003186	638567.000000	638567.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008090 last_stop_reason=
ss_wmin10000wmax50000n10000-1-s843367405c638567.ukp	ukp5	ok	1	0.004582	638567.000000	638567.000000	1					elapsed_seconds=0.018200
ss_wmin10000wmax50000n10000-2-s528806317c650130.ukp	faithful	ok	1	0.002917	650130.000000	650130.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007939 last_stop_reason=
ss_wmin10000wmax50000n10000-2-s528806317c650130.ukp	ukp5	ok	1	0.004273	650130.000000	650130.000000	1					elapsed_seconds=0.019068
ss_wmin10000wmax50000n10000-3-s780179313c642619.ukp	faithful	ok	1	0.003362	642619.000000	642619.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008775 last_stop_reason=
ss_wmin10000wmax50000n10000-3-s780179313c642619.ukp	ukp5	ok	1	0.004851	642619.000000	642619.000000	1					elapsed_seconds=0.020513
ss_wmin10000wmax50000n10000-4-s721215008c927843.ukp	faithful	ok	1	0.002330	927843.000000	927843.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007259 last_stop_reason=
ss_wmin10000wmax50000n10000-4-s721215008c927843.ukp	ukp5	ok	1	0.004714	927843.000000	927843.000000	1					elapsed_seconds=0.020153
ss_wmin10000wmax50000n10000-5-s110877071c979382.ukp	faithful	ok	1	0.003124	979382.000000	979382.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.008142 last_stop_reason=
ss_wmin10000wmax50000n10000-5-s110877071c979382.ukp	ukp5	ok	1	0.004715	979382.000000	979382.000000	1					elapsed_seconds=0.020737
ss_wmin10000wmax50000n10000-6-s227708629c586019.ukp	faithful	ok	1	0.011231	586019.000000	586019.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.016370 last_stop_reason=
ss_wmin10000wmax50000n10000-6-s227708629c586019.ukp	ukp5	ok	1	0.004346	586019.000000	586019.000000	1					elapsed_seconds=0.018207
ss_wmin10000wmax50000n10000-7-s177710744c995533.ukp	faithful	ok	1	0.002750	995533.000000	995533.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007601 last_stop_reason=
ss_wmin10000wmax50000n10000-7-s177710744c995533.ukp	ukp5	ok	1	0.007986	995533.000000	995533.000000	1					elapsed_seconds=0.024567
ss_wmin10000wmax50000n10000-8-s991580855c500128.ukp	faithful	ok	1	0.013085	500128.000000	500128.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.018086 last_stop_reason=
ss_wmin10000wmax50000n10000-8-s991580855c500128.ukp	ukp5	ok	1	0.004276	500128.000000	500128.000000	1					elapsed_seconds=0.018618
ss_wmin10000wmax50000n10000-9-s126456688c987402.ukp	faithful	ok	1	0.010781	987402.000000	987402.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.016075 last_stop_reason=
ss_wmin10000wmax50000n10000-9-s126456688c987402.ukp	ukp5	ok	1	0.004485	987402.000000	987402.000000	1					elapsed_seconds=0.019374
ss_wmin10000wmax50000n1000-0-s827183242c505635.ukp	faithful	ok	1	0.003466	505635.000000	505635.000000	1.000000	1.000000	0.000000	0.000000	0.000000	elapsed_seconds=0.007525 last_stop_reason=
ss_wmin10000wmax50000n1000-0-s827183242c505635.ukp	ukp5	ok	1	0.001696	505635.000000	505635.000000	1					elapsed_seconds=0.008794
