# EDUK2 solver execution report
# generated_at: 2026-08-24T14:39:18-03:00
instance	algorithm	status	runs	elapsed_seconds	profit	weight	optimal	verified	states_scanned	points_generated	bb_nodes	details
saw_n100000wmin10000-2-s272488647c9524363.ukp	faithful	ok	1	0,046249	9527215,000000	9524363,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-2-s272488647c9524363.ukp	ukp5	ok	1	4,442231	9527215,000000	9524363,000000	1					internal_seconds=4.31166
saw_n100000wmin10000-8-s400869978c1825758.ukp	faithful	ok	1	0,635080	1826484,000000	1825758,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n100000wmin10000-8-s400869978c1825758.ukp	ukp5	ok	1	4,667038	1826484,000000	1825758,000000	1					internal_seconds=4.55903
saw_n10000wmin10000-16-s98298363c954260.ukp	faithful	ok	1	0,012747	954638,000000	954260,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n10000wmin10000-16-s98298363c954260.ukp	ukp5	ok	1	0,070556	954638,000000	954260,000000	1					internal_seconds=0.055048
saw_n10000wmin10000-46-s488703061c404475.ukp	faithful	ok	1	0,025221	404553,000000	404475,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n10000wmin10000-46-s488703061c404475.ukp	ukp5	ok	1	0,067176	404553,000000	404475,000000	1					internal_seconds=0.05207
saw_n10000wmin10000-4-s697219038c112100.ukp	faithful	ok	1	0,010503	112142,000000	112099,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n10000wmin10000-4-s697219038c112100.ukp	ukp5	ok	1	0,063057	112142,000000	112099,000000	1					internal_seconds=0.0493016
saw_n10000wmin10000-64-s91319529c417603.ukp	faithful	ok	1	0,025349	418101,000000	417603,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n10000wmin10000-64-s91319529c417603.ukp	ukp5	ok	1	0,049925	418101,000000	417603,000000	1					internal_seconds=0.0356326
saw_n10000wmin10000-9-s840509679c389891.ukp	faithful	ok	1	0,009699	390080,000000	389891,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n10000wmin10000-9-s840509679c389891.ukp	ukp5	ok	1	0,064748	390080,000000	389891,000000	1					internal_seconds=0.0506631
saw_n50000wmin10000-14-s133254276c855055.ukp	faithful	ok	1	0,070131	855223,000000	855055,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-14-s133254276c855055.ukp	ukp5	ok	1	0,490414	855223,000000	855055,000000	1					internal_seconds=0.445161
saw_n50000wmin10000-191-s149823577c485251.ukp	faithful	ok	1	0,042194	485394,000000	485251,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-191-s149823577c485251.ukp	ukp5	ok	1	0,505780	485394,000000	485251,000000	1					internal_seconds=0.461074
saw_n50000wmin10000-21-s268466337c681418.ukp	faithful	ok	1	0,021541	681621,000000	681418,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-21-s268466337c681418.ukp	ukp5	ok	1	0,504407	681621,000000	681418,000000	1					internal_seconds=0.459278
saw_n50000wmin10000-31-s452656240c593942.ukp	faithful	ok	1	0,022691	594000,000000	593942,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-31-s452656240c593942.ukp	ukp5	ok	1	0,475914	594000,000000	593942,000000	1					internal_seconds=0.431029
saw_n50000wmin10000-36-s192039016c602759.ukp	faithful	ok	1	0,025495	602878,000000	602759,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-36-s192039016c602759.ukp	ukp5	ok	1	0,484009	602878,000000	602759,000000	1					internal_seconds=0.439395
saw_n50000wmin10000-46-s488703061c368003.ukp	faithful	ok	1	0,138782	368073,000000	368003,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin10000-46-s488703061c368003.ukp	ukp5	ok	1	0,543126	368073,000000	368002,000000	1					internal_seconds=0.488988
saw_n50000wmin5000-16-s98298363c428408.ukp	faithful	ok	1	0,026054	428747,000000	428408,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-16-s98298363c428408.ukp	ukp5	ok	1	0,441822	428747,000000	428408,000000	1					internal_seconds=0.393772
saw_n50000wmin5000-23-s689434799c814741.ukp	faithful	ok	1	0,025464	821620,000000	814741,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-23-s689434799c814741.ukp	ukp5	ok	1	0,137999	821620,000000	814741,000000	1					internal_seconds=0.0865403
saw_n50000wmin5000-28-s222766544c984614.ukp	faithful	ok	1	0,025039	985593,000000	984614,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-28-s222766544c984614.ukp	ukp5	ok	1	0,492344	985593,000000	984614,000000	1					internal_seconds=0.426462
saw_n50000wmin5000-403-s61048113c550314.ukp	faithful	ok	1	0,023060	550753,000000	550314,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-403-s61048113c550314.ukp	ukp5	ok	1	0,428472	550753,000000	550314,000000	1					internal_seconds=0.377861
saw_n50000wmin5000-412-s836986322c396124.ukp	faithful	ok	1	0,030700	396360,000000	396124,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-412-s836986322c396124.ukp	ukp5	ok	1	0,407498	396360,000000	396124,000000	1					internal_seconds=0.360403
saw_n50000wmin5000-4-s697219038c612912.ukp	faithful	ok	1	0,022112	613399,000000	612912,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
saw_n50000wmin5000-4-s697219038c612912.ukp	ukp5	ok	1	0,443007	613399,000000	612912,000000	1					internal_seconds=0.390965
sc_a5n10000wmin10000-13-c6391754.ukp	faithful	ok	1	0,008216	6394949,000000	6391754,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin10000-13-c6391754.ukp	ukp5	ok	1	0,070028	6394949,000000	6391754,000000	1					internal_seconds=0.0401602
sc_a-5n10000wmin10000-6-c6910087.ukp	faithful	ok	1	0,056701	6908357,000000	6910087,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-6-c6910087.ukp	ukp5	ok	1	0,103197	6908357,000000	6910087,000000	1					internal_seconds=0.0722956
sc_a-5n10000wmin10000-7-c9986840.ukp	faithful	ok	1	0,259742	9984340,000000	9986840,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-7-c9986840.ukp	ukp5	ok	1	0,111423	9984340,000000	9986840,000000	1					internal_seconds=0.0728442
sc_a-5n10000wmin10000-8-c7333555.ukp	faithful	ok	1	0,017146	7331720,000000	7333555,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a-5n10000wmin10000-8-c7333555.ukp	ukp5	ok	1	0,105642	7331720,000000	7333555,000000	1					internal_seconds=0.0729384
sc_a5n10000wmin110000-8-c5852210.ukp	faithful	ok	1	0,375853	5852475,000000	5852210,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin110000-8-c5852210.ukp	ukp5	ok	1	0,531198	5852475,000000	5852210,000000	1					internal_seconds=0.496115
sc_a5n10000wmin50000-16-c9958129.ukp	faithful	ok	1	0,007734	9959124,000000	9958129,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n10000wmin50000-16-c9958129.ukp	ukp5	ok	1	0,263877	9959124,000000	9958129,000000	1					internal_seconds=0.221715
sc_a5n5000wmin10000-2-c415801.ukp	faithful	ok	1	0,036852	416006,000000	415801,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n5000wmin10000-2-c415801.ukp	ukp5	ok	1	0,032536	416006,000000	415801,000000	1					internal_seconds=0.0216672
sc_a5n5000wmin10000-5-c734263.ukp	faithful	ok	1	0,006478	734628,000000	734263,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n5000wmin10000-5-c734263.ukp	ukp5	ok	1	0,032955	734628,000000	734263,000000	1					internal_seconds=0.021738
sc_a5n5000wmin10000-9-c732642.ukp	faithful	ok	1	0,005871	733007,000000	732642,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n5000wmin10000-9-c732642.ukp	ukp5	ok	1	0,033158	733007,000000	732642,000000	1					internal_seconds=0.0216501
sc_a5n5000wmin50000-1-c372017.ukp	faithful	ok	1	0,226112	372052,000000	372017,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n5000wmin50000-1-c372017.ukp	ukp5	ok	1	0,068101	372052,000000	372017,000000	1					internal_seconds=0.0565394
sc_a5n5000wmin50000-9-c638190.ukp	faithful	ok	1	0,572161	638250,000000	638190,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
sc_a5n5000wmin50000-9-c638190.ukp	ukp5	ok	1	0,124149	638250,000000	638190,000000	1					internal_seconds=0.11173
ukp_bb_favorable_2000_1p2M.ukp	faithful	ok	1	0,004445	1764350,000000	1200000,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_bb_favorable_2000_1p2M.ukp	ukp5	ok	1	0,017463	1764350,000000	1200000,000000	1					internal_seconds=0.00531748
ukp_hardish_2000_8M.ukp	faithful	ok	1	0,188225	8143251,000000	8000000,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_hardish_2000_8M.ukp	ukp5	ok	1	0,148171	8143251,000000	8000000,000000	1					internal_seconds=0.0886709
ukp_intermediate_bb_2000_5M.ukp	faithful	ok	1	0,058102	5139742,000000	4999992,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_intermediate_bb_2000_5M.ukp	ukp5	ok	1	0,097580	5139742,000000	4999992,000000	1					internal_seconds=0.0600189
ukp_large_compare_1000_250k.ukp	faithful	ok	1	0,018824	331359,000000	250000,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_large_compare_1000_250k.ukp	ukp5	ok	1	0,005663	331359,000000	249980,000000	1					internal_seconds=0.000200046
ukp_moderate_bb_2000_900k.ukp	faithful	ok	1	0,011574	928539,000000	900000,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_moderate_bb_2000_900k.ukp	ukp5	ok	1	0,028006	928539,000000	900000,000000	1					internal_seconds=0.0159148
ukp_target_eduk2_favorable_2000_1p5M.ukp	faithful	ok	1	0,004022	2303360,000000	1500000,000000	1,000000	1,000000	0,000000	0,000000	0,000000	last_stop_reason=
ukp_target_eduk2_favorable_2000_1p5M.ukp	ukp5	ok	1	0,014222	2303360,000000	1500000,000000	1					internal_seconds=0.00345607
